created_at,val_loss
2020-03-18 17:53:56.819870,
2020-03-18 17:53:56.879286,
2020-03-18 17:53:56.937871,
2020-03-18 17:53:56.998351,
2020-03-18 17:53:57.059435,
2020-03-18 17:53:57.121071,
2020-03-18 17:53:57.183866,
2020-03-18 17:53:57.242306,
2020-03-18 17:53:57.304232,
2020-03-18 17:53:57.367575,
2020-03-18 17:53:57.427975,
2020-03-18 17:53:57.488530,
2020-03-18 17:53:57.546383,
2020-03-18 17:53:57.607487,
2020-03-18 17:53:57.667018,
2020-03-18 17:53:57.727363,
2020-03-18 17:53:57.793385,
2020-03-18 17:53:57.853320,
2020-03-18 17:53:57.911579,
2020-03-18 17:53:57.973327,
2020-03-18 17:53:58.036221,
2020-03-18 17:53:58.098372,
2020-03-18 17:53:58.157942,
2020-03-18 17:53:58.217770,
2020-03-18 17:53:58.277708,
2020-03-18 17:53:58.336661,
2020-03-18 17:53:58.399536,
2020-03-18 17:53:58.458806,
2020-03-18 17:53:59.093552,0.4805377721786499
2020-03-18 17:53:59.103248,
2020-03-18 17:53:59.165133,
2020-03-18 17:53:59.229514,
2020-03-18 17:53:59.290635,
2020-03-18 17:53:59.353830,
2020-03-18 17:53:59.414406,
2020-03-18 17:53:59.474598,
2020-03-18 17:53:59.535156,
2020-03-18 17:53:59.598894,
2020-03-18 17:53:59.657831,
2020-03-18 17:53:59.720885,
2020-03-18 17:53:59.779576,
2020-03-18 17:53:59.837909,
2020-03-18 17:53:59.896127,
2020-03-18 17:53:59.955367,
2020-03-18 17:54:00.016219,
2020-03-18 17:54:00.079343,
2020-03-18 17:54:00.141442,
2020-03-18 17:54:00.200713,
2020-03-18 17:54:00.261305,
2020-03-18 17:54:00.323206,
2020-03-18 17:54:00.384993,
2020-03-18 17:54:00.447141,
2020-03-18 17:54:00.509590,
2020-03-18 17:54:00.569307,
2020-03-18 17:54:00.629814,
2020-03-18 17:54:00.691176,
2020-03-18 17:54:00.751706,
2020-03-18 17:54:00.814444,
2020-03-18 17:54:00.875331,
2020-03-18 17:54:00.936631,
2020-03-18 17:54:01.000026,
2020-03-18 17:54:01.061350,
2020-03-18 17:54:01.122773,
2020-03-18 17:54:01.183438,
2020-03-18 17:54:01.242361,
2020-03-18 17:54:01.306016,
2020-03-18 17:54:01.367115,
2020-03-18 17:54:01.427320,
2020-03-18 17:54:01.486448,
2020-03-18 17:54:01.552771,
2020-03-18 17:54:01.613001,
2020-03-18 17:54:01.674847,
2020-03-18 17:54:01.733553,
2020-03-18 17:54:01.790164,
2020-03-18 17:54:01.849134,
2020-03-18 17:54:01.910409,
2020-03-18 17:54:01.969885,
2020-03-18 17:54:02.027330,
2020-03-18 17:54:02.086384,
2020-03-18 17:54:02.149907,
2020-03-18 17:54:02.212747,
2020-03-18 17:54:02.274035,
2020-03-18 17:54:02.334526,
2020-03-18 17:54:02.397816,
2020-03-18 17:54:02.461397,
2020-03-18 17:54:02.524557,
2020-03-18 17:54:02.584667,
2020-03-18 17:54:02.643485,
2020-03-18 17:54:02.702291,
2020-03-18 17:54:02.766301,
2020-03-18 17:54:02.828592,
2020-03-18 17:54:02.889407,
2020-03-18 17:54:02.949029,
2020-03-18 17:54:03.009386,
2020-03-18 17:54:03.068742,
2020-03-18 17:54:03.131485,
2020-03-18 17:54:03.194499,
2020-03-18 17:54:03.257822,
2020-03-18 17:54:03.317715,
2020-03-18 17:54:03.383008,
2020-03-18 17:54:03.447293,
2020-03-18 17:54:03.507558,
2020-03-18 17:54:03.570455,
